player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,height,weight,bats,throws,recurrence,event,num_games
"Abreu, Bryan",2640.038388010309,91.14157276574969,91.26652016218293,5.900343632229329,-132.5313649685168,-3.6317719766905587,27.177075507921405,73.0,225.0,0.0,0.0,0,0.0,82
"Adam, Jason",2542.5002189774577,88.87561742092042,89.13504999129611,3.720283525289887,-129.3145547940464,-4.0935930959064795,32.90929632286848,75.0,229.0,0.0,0.0,0,0.0,83
"Adcock, Ty",2190.059676044331,92.70873827791986,92.97122762148338,4.768693466102504,-134.9295158121996,-4.94804842569068,27.39858544375998,72.0,213.0,0.0,0.0,0,0.0,3
"Akin, Keegan",2411.5785288539446,90.22864845861986,89.34644848758037,-6.5042006001871195,-131.16249437799166,-5.084534050537889,29.23988404396666,71.0,235.0,0.0,0.0,0,0.0,68
"Alcala, Jorge",2445.9201486236343,94.062690463586,93.37588776702113,6.299658059976003,-136.72495899116956,-6.788106554479668,28.928803871417077,75.0,205.0,0.0,0.0,0,0.0,57
"Alexander, Tyler",2228.4177499330276,84.85939390136373,84.6550663771625,-4.121892444159773,-123.49645843668957,-2.308215391285166,29.951859456992924,74.0,203.0,0.0,0.0,0,0.0,24
"Allard, Kolby",1925.4565391965339,85.0717996672771,84.70655511991777,-4.725089011976026,-123.7788809224258,-2.4564201842723525,26.980835044490075,73.0,195.0,0.0,0.0,0,0.0,8
"Alvarez, Eddy",1668.4615384615386,63.93076923076923,61.11538461538461,3.6904992268971575,-92.85980764165312,1.1661239571791946,34.639288158795345,69.0,185.0,0.0,0.0,0,0.0,1
"Anderson, Chase",2363.1938949501096,86.20646947585321,85.52223117714229,4.25230536278695,-125.46449767248303,-3.370120736894257,36.507141227469766,73.0,210.0,0.0,0.0,0,0.0,30
"Anderson, Justin",2322.8965935845695,90.82170739963851,91.59723583146616,7.1709672668502,-132.06650718637735,-4.168812342858752,31.799664849300196,75.0,230.0,0.0,0.0,0,0.0,58
"Anderson, Nick",2034.6536202208808,88.54799111164435,88.12141548443407,2.968101664908264,-128.86244264836276,-5.012074192945235,33.868056652450896,76.0,205.0,0.0,0.0,0,0.0,39
"Anderson, Shaun",2464.7441323448115,88.47294955776175,89.44714706611778,4.3235297431553406,-128.74796412163656,-4.420352710321771,29.679215149441024,78.0,228.0,0.0,0.0,0,0.0,6
"Anderson, Tyler",2108.1208925813185,84.43096270804367,84.06756995111499,-4.098451061567237,-122.80394359224354,-5.372429253867061,34.483915126625604,74.0,220.0,0.0,0.0,0,0.0,32
"Andriese, Matt",2407.91800836714,87.82444243446716,87.78013706311435,6.080768385364836,-127.72826227171672,-3.017450056045331,34.6735112936345,74.0,215.0,0.0,0.0,0,0.0,4
"Armstrong, Shawn",2334.801960378008,91.75382571383253,92.27270191623823,5.319997297444997,-133.4876116309723,-4.811224213481776,33.776317590691306,74.0,225.0,0.0,0.0,0,0.0,60
"Ashby, Aaron",2253.2807816005397,90.63598949799295,88.87279501992822,-3.007460205956094,-131.86485914370013,-4.917990590983301,26.234770704996578,74.0,181.0,0.0,0.0,0,0.0,16
