player_name,game_date,num_pitches,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,recurrence,start,stop,event,weight,height,bats,throws,age
"Morejon, Adrian",2022-08-02,21,2499.0,97.0142857142857,97.4047619047619,-5.847471306381351,-141.0715594909489,-5.890621146970629,3,4,5,0.0,224.0,71.0,0,0,23.42778918548939
"Morejon, Adrian",2022-08-05,10,2474.8,86.57000000000001,86.94,-3.604456651532161,-125.95700991449544,-3.574387807496069,3,5,6,0.0,224.0,71.0,0,0,23.43600273785079
"Morejon, Adrian",2022-08-06,14,2554.0714285714284,94.53571428571428,95.35,-5.515868619736127,-137.58711066273472,-4.8230687031205495,3,6,7,0.0,224.0,71.0,0,0,23.43874058863792
"Morejon, Adrian",2022-08-09,12,2547.5,93.925,94.21666666666664,-5.45000453859948,-136.6463031755596,-4.344081769997077,3,7,8,0.0,224.0,71.0,0,0,23.446954140999317
"Morejon, Adrian",2022-08-10,12,2552.5,94.625,94.81666666666666,-5.363038011203226,-137.6176054154678,-5.847661653690679,3,8,9,0.0,224.0,71.0,0,0,23.449691991786448
"Morejon, Adrian",2022-08-13,23,2523.782608695652,92.30869565217392,92.58260869565218,-4.86813143769369,-134.2706100643073,-5.77601301223519,3,9,10,0.0,224.0,71.0,0,0,23.457905544147845
"Morejon, Adrian",2022-08-17,24,2581.875,94.85416666666669,94.85833333333332,-5.489959791036429,-137.88087218857711,-6.063153456452121,3,10,11,0.0,224.0,71.0,0,0,23.468856947296374
"Morejon, Adrian",2022-08-20,28,2378.214285714286,95.76428571428572,95.86428571428571,-6.4746706472976525,-139.18891067414253,-5.766911489186969,3,11,12,0.0,224.0,71.0,0,0,23.477070499657767
"Morejon, Adrian",2022-08-26,27,2453.6666666666665,93.2074074074074,93.62962962962963,-6.463346642000821,-135.57578665257572,-5.178305288818714,3,12,13,0.0,224.0,71.0,0,0,23.49349760438056
"Morejon, Adrian",2022-08-29,32,2495.9375,93.409375,93.8375,-5.944012504802759,-135.8476264765799,-5.688869557426541,3,13,14,0.0,224.0,71.0,0,0,23.50171115674196
"Morejon, Adrian",2022-08-31,19,2587.157894736842,92.34736842105262,92.63157894736842,-4.783668998024031,-134.41486895022325,-4.247609117266585,3,14,15,0.0,224.0,71.0,0,0,23.50718685831622
"Morejon, Adrian",2022-09-04,12,2493.1666666666665,94.80833333333334,95.61666666666667,-5.893488330167167,-137.92376361916735,-6.5891202323281375,3,15,16,0.0,224.0,71.0,0,0,23.51813826146475
"Morejon, Adrian",2022-09-09,16,2582.4375,97.25,97.35625,-7.272598547838807,-141.31816644827364,-6.068974245110885,3,16,17,0.0,224.0,71.0,0,0,23.531827515400412
"Morejon, Adrian",2022-09-16,12,2229.6666666666665,92.88333333333333,93.11666666666667,-5.199175194280402,-135.0792006274734,-4.689754008576331,3,17,18,0.0,224.0,71.0,0,0,23.550992470910334
