Date,Relinquished
2025-04-01,"Dubin, Shawn"
2025-04-01,"Brubaker, J.T."
2025-04-02,"Hurt, Kyle"
2025-04-03,"Lopez, Reynaldo"
2025-04-03,"Freeman, Freddie"
2025-04-03,"Brito, Jhony"
2025-04-04,"Gorman, Nolan"
2025-04-04,"Soroka, Mike"
2025-04-04,"Leiter, Jack"
2025-04-04,"Bellinger, Cody"
2025-04-05,"Zeferjahn, Ryan"
2025-04-05,"Moncada, Yoan"
2025-04-05,"Springer, George"
2025-04-05,"Marte, Ketel"
2025-04-05,"Fortes, Nick"
2025-04-06,"Valdez, Framber"
2025-04-06,"Cortes, Nestor"
2025-04-06,"Herrera, Ivan"
2025-04-06,"Snell, Blake"
2025-04-06,"Robles, Victor"
2025-04-06,"Peterson, David"
2025-04-06,"Torrens, Luis"
2025-04-06,"Holderman, Colin"
2025-04-06,"Triolo, Jared"
2025-04-06,"McLain, Matt"
2025-04-06,"Benintendi, Andrew"
2025-04-07,"Garcia, Luis"
2025-04-07,"Arrighetti, Spencer"
2025-04-07,"Herrera, Ivan"
2025-04-07,"Arenado, Nolan"
2025-04-07,"Thompson, Zack"
2025-04-07,"Robles, Victor"
2025-04-07,"Abrams, C.J."
2025-04-07,"Suarez, Albert"
2025-04-07,"Merrill, Jackson"
2025-04-07,"Triolo, Jared"
2025-04-07,"Fraley, Jake"
2025-04-08,"Arrighetti, Spencer"
2025-04-08,"Basso, Brady"
2025-04-08,"Thomas, Connor"
2025-04-08,"Means, John"
2025-04-08,"Eflin, Zach"
2025-04-08,"Merrill, Jackson"
2025-04-08,"Bradford, Cody"
2025-04-08,"DeLuca, Jonny"
2025-04-08,"Wong, Connor"
2025-04-08,"McLain, Matt"
2025-04-08,"Rogers, Jake"
2025-04-08,"Margot, Manuel"
2025-04-08,"Perez, Wenceel"
2025-04-08,"Bellinger, Cody"
