Date,Relinquished
2025-02-11,"Stone, Gavin"
2025-02-11,"Bush, Ky"
2025-02-12,"Gasser, Robert"
2025-02-12,"Garrett, Braxton"
2025-02-12,"Lavender, Nate"
2025-02-12,"McArthur, James"
2025-02-12,"Lange, Alex"
2025-02-12,"Scholtens, Jesse"
2025-02-13,"Ryan, River"
2025-02-13,"Smith, Drew"
2025-02-13,"Aguiar, Julian"
2025-02-15,"Rendon, Anthony"
2025-02-15,"Stephenson, Robert"
2025-02-15,"Sandoval, Patrick"
2025-02-16,"Hentges, Sam"
2025-02-16,"Gray, Josiah"
2025-02-16,"Moreta, Dauri"
2025-02-17,"Medina, Luis"
2025-02-17,"Sborz, Josh"
2025-02-17,"Bush, Ky"
2025-02-19,"Fry, David"
2025-02-20,"Perez, Eury"
2025-02-25,"Madrigal, Nick"
2025-02-27,"Benintendi, Andrew"
2025-03-02,"Kowar, Jackson"
2025-03-03,"Oviedo, Johan"
2025-03-05,"Hall, D.L."
2025-03-07,"Carela, Juan"
2025-03-07,"Berroa, Prelander"
2025-03-08,"Gipson-Long, Sawyer"
2025-03-10,"Cole, Gerrit"
2025-03-12,"Bastardo, Angel"
2025-03-14,"Criswell, Jeff"
2025-03-15,"Nardi, Andrew"
2025-03-17,"Manoah, Alek"
2025-03-17,"Assad, Javier"
2025-03-17,"Graterol, Brusdar"
2025-03-17,"Kershaw, Clayton"
2025-03-17,"Henriquez, Edgardo"
2025-03-17,"Sheehan, Emmet"
2025-03-17,"Phillips, Evan"
2025-03-17,"Hurt, Kyle"
2025-03-17,"Grove, Michael"
2025-03-17,"Kopech, Michael"
2025-03-17,"Gonsolin, Tony"
2025-03-18,"Hoerner, Nico"
2025-03-18,"Kershaw, Clayton"
2025-03-18,"Freeman, Freddie"
2025-03-18,"Betts, Mookie"
2025-03-20,"Musgrove, Joe"
2025-03-22,"Cole, Gerrit"
2025-03-23,"Walston, Blake"
2025-03-23,"Wells, Tyler"
2025-03-23,"Berroa, Prelander"
2025-03-24,"Basso, Brady"
2025-03-24,"Jimenez, Joe"
2025-03-24,"Acuna, Ronald"
2025-03-24,"Murphy, Sean"
2025-03-24,"Thompson, Zack"
2025-03-24,"Marsh, Alec"
2025-03-24,"Wright, Kyle"
2025-03-24,"Gil, Luis"
2025-03-24,"Herz, D.J."
2025-03-25,"Harris, Brett"
2025-03-25,"Alvarez, Nacho"
2025-03-25,"Strider, Spencer"
2025-03-25,"Miller, Tyson"
2025-03-25,"Montgomery, Jordan"
2025-03-26,"Otanez, Michel"
2025-03-26,"Gelof, Zack"
2025-03-26,"Brasier, Ryan"
2025-03-26,"Brujan, Vidal"
2025-03-26,"Montgomery, Jordan"
2025-03-26,"Ginkel, Kevin"
2025-03-26,"Encarnacion, Jerar"
2025-03-26,"Hoo, Jung"
2025-03-26,"Murphy, Tom"
2025-03-26,"Scott, Christian"
2025-03-26,"Chaparro, Andres"
2025-03-26,"Cavalli, Cade"
2025-03-26,"Herz, D.J."
2025-03-26,"Law, Derek"
2025-03-26,"Thompson, Mason"
2025-03-26,"Brzykcy, Zach"
2025-03-26,"Bradish, Kyle"
2025-03-26,"Gray, Jon"
2025-03-26,"Palacios, Richie"
2025-03-26,"McClanahan, Shane"
2025-03-26,"Sandoval, Patrick"
2025-03-26,"Diaz, Alexis"
2025-03-26,"Abbott, Andrew"
2025-03-26,"Hays, Austin"
2025-03-26,"Lowder, Rhett"
2025-03-26,"Stephenson, Tyler"
2025-03-26,"McArthur, James"
2025-03-26,"Meadows, Parker"
2025-03-26,"Lee, Brooks"
2025-03-26,"Tonkin, Michael"
2025-03-26,"Lewis, Royce"
2025-03-26,"Schmidt, Clarke"
2025-03-26,"Beeter, Clayton"
2025-03-26,"LeMahieu, D.J."
2025-03-26,"Stanton, Mike"
2025-03-26,"Hamilton, Ian"
2025-03-26,"Brubaker, J.T."
2025-03-26,"Loaisiga, Jonathan"
2025-03-26,"Effross, Scott"
2025-03-27,"Bachman, Sam"
2025-03-27,"Neto, Zach"
2025-03-27,"Javier, Cristian"
2025-03-27,"Whitley, Forrest"
2025-03-27,"France, J.P."
2025-03-27,"Ort, Kaleb"
2025-03-27,"McCullers, Lance"
2025-03-27,"Garcia, Luis"
2025-03-27,"Leon, Pedro"
2025-03-27,"Trammell, Taylor"
2025-03-27,"Waldichuk, Ken"
2025-03-27,"Varsho, Daulton"
2025-03-27,"Swanson, Erik"
2025-03-27,"Burr, Ryan"
2025-03-27,"Ashby, Aaron"
2025-03-27,"Perkins, Blake"
2025-03-27,"Woodruff, Brandon"
2025-03-27,"Mears, Nick"
2025-03-27,"Myers, Tobias"
2025-03-27,"Alexander, Blaze"
2025-03-27,"Graveman, Kendall"
2025-03-27,"Sheehan, Emmet"
2025-03-27,"Sabrowski, Erik"
2025-03-27,"Means, John"
2025-03-27,"Bieber, Shane"
2025-03-27,"Cecconi, Slade"
2025-03-27,"Stephan, Trevor"
2025-03-27,"Kirby, George"
2025-03-27,"Brash, Matt"
2025-03-27,"Taylor, Troy"
2025-03-27,"Norby, Connor"
2025-03-27,"Cronin, Declan"
2025-03-27,"Cabrera, Edward"
2025-03-27,"Sanchez, Jesus"
2025-03-27,"Weathers, Ryan"
2025-03-27,"Montas, Frankie"
2025-03-27,"Alvarez, Francisco"
2025-03-27,"McNeil, Jeff"
2025-03-27,"Blackburn, Paul"
2025-03-27,"Mauricio, Ronny"
2025-03-27,"Manaea, Sean"
2025-03-27,"Kittredge, Andrew"
2025-03-27,"McDermott, Chayce"
2025-03-27,"Rodriguez, Grayson"
2025-03-27,"Henderson, Gunnar"
2025-03-27,"Rogers, Trevor"
2025-03-27,"Hoeing, Bryan"
2025-03-27,"Brito, Jhony"
2025-03-27,"Waldron, Matt"
2025-03-27,"Reynolds, Sean"
2025-03-27,"Darvish, Yu"
2025-03-27,"Rojas, Johan"
2025-03-27,"Suarez, Ranger"
2025-03-27,"Wilson, Weston"
2025-03-27,"Jones, Jared"
2025-03-27,"Horwitz, Spencer"
2025-03-27,"Bradford, Cody"
2025-03-27,"Faedo, Alex"
2025-03-27,"Seong, Ha"
2025-03-27,"Bello, Brayan"
2025-03-27,"Murphy, Chris"
2025-03-27,"Crawford, Kutter"
2025-03-27,"Hendriks, Liam"
2025-03-27,"Giolito, Lucas"
2025-03-27,"Yoshida, Masataka"
2025-03-27,"Penrod, Zach"
2025-03-27,"Williamson, Brandon"
2025-03-27,"Gomber, Austin"
2025-03-27,"Criswell, Jeff"
2025-03-27,"Estrada, Thairo"
2025-03-27,"Cobb, Alex"
2025-03-27,"Vierling, Matt"
2025-03-27,"Madden, Ty"
2025-03-27,"Perez, Wenceel"
2025-03-27,"Stewart, Brock"
2025-03-27,"Ramos, Bryan"
2025-03-27,"Thorpe, Drew"
2025-03-27,"Thorpe, Drew"
2025-03-27,"Rojas, Josh"
2025-03-27,"Tauchman, Mike"
2025-03-27,"Gilbert, Tyler"
2025-03-27,"Cousins, Jake"
2025-03-27,"Cousins, Jake"
2025-03-27,"Jones, Jared"
2025-03-28,"Gonzales, Nick"
2025-03-28,"Madden, Ty"
2025-03-29,"Lowe, Josh"
2025-03-30,"Scherzer, Max"
2025-03-30,"Tinoco, Jesus"
2025-03-30,"Suarez, Albert"
2025-03-30,"Jung, Josh"
2025-03-31,"Jimenez, Joe"
2025-03-31,"Lopez, Reynaldo"
2025-03-31,"Civale, Aaron"
2025-03-31,"Cowser, Colton"
2025-03-31,"Jones, Jared"
2025-03-31,"Blanco, Dairon"
2025-03-31,"Torres, Gleyber"
2025-04-01,"Javier, Cristian"
